id;name
0;Aach
1;Aachen
2;Aalen
3;Aarbergen
4;Aasbüttel
5;Abbau Ader
6;Abbendorf
7;Abbenrode
8;Abberode
9;Abenberg
10;Abend
11;Abensberg
12;Abentheuer
13;Abraham
14;Absberg
15;Abstatt
16;Abtlöbnitz
17;Abtsbessingen
18;Abtsdorf
19;Abtsgmünd
20;Abtsteinach
21;Abtswind
22;Abtweiler
23;Achberg
24;Achen
25;Achern
26;Achim
27;Achslach
28;Achstetten
29;Acht
30;Achtelsbach
31;Achterspannerhof
32;Achterwehr
33;Achtrup
34;Ackendorf
35;Ackermannshof
36;Adamshoffnung
37;Addebüll
38;Adelberg
39;Adelebsen
40;Adelhausen
41;Adelheidsdorf
42;Adelmannsfelden
43;Adelschlag
44;Adelsdorf
45;Adelsheim
46;Adelshofen
47;Adelsried
48;Adelzhausen
49;Adenau
50;Adenbach
51;Adenbüttel
52;Adendorf
53;Adenstedt
54;Aderstedt
55;Adlersteige
56;Adligstadt
57;Adlkofen
58;Admannshagen-Bargeshagen
59;Adorf
60;Aebtissinwisch
61;Aerzen
62;Affalterbach
63;Affing
64;Affinghausen
65;Affler
66;Aftholderbach
67;Agathenburg
68;Agethorst
69;Aglasterhausen
70;Aham
71;Ahaus
72;Ahausen
73;Ahlbeck
74;Ahlden
75;Ahlefeld
76;Ahlen
77;Ahlerstedt
78;Ahlsdorf
79;Ahlstädt
80;Ahlum
81;Ahnatal
82;Ahneby
83;Ahnsbeck
84;Ahnsen
85;Aholfing
86;Aholming
87;Ahorn
88;Ahorntal
89;Ahrain
90;Ahrbrück
91;Ahrensburg
92;Ahrensbök
93;Ahrensdorf
94;Ahrensfelde
95;Ahrenshagen
96;Ahrenshöft
97;Ahrenstedt
98;Ahrenviöl
99;Ahrenviölfeld
100;Aicha
101;Aichach
102;Aichat
103;Aichberg
104;Aichelberg
105;Aichen
106;Aichhalden
107;Aichstetten
108;Aichtal
109;Aichwald
110;Aichwies
111;Aidenbach
112;Aidhausen
113;Aidlingen
114;Aiglsbach
115;Ailertchen
116;Aindling
117;Ainring
118;Aislingen
119;Aiterhofen
120;Aitern
121;Aiteröd
122;Aitrach
123;Aitrang
124;Aitzendorf
125;Aken
126;Alach
127;Albaching
128;Albbruck
129;Albernhof
130;Albersdorf
131;Albershausen
132;Albersroda
133;Alberstedt
134;Albersweiler
135;Alberthofen
136;Albertinenhof
137;Albertshofen
138;Albessen
139;Albig
140;Albisheim
141;Albrechts
142;Albrechtshof
143;Albsfelde
144;Albstadt
145;Aldenhoven
146;Aldersbach
147;Aldingen
148;Alerheim
149;Alesheim
150;Aletshausen
151;Alf
152;Alfdorf
153;Alfeld
154;Alfhausen
155;Alflen
156;Alfstedt
157;Alfter
158;Algenstedt
159;Algermissen
160;Algertshausen
161;Algesbüttel
162;Algishofen
163;Alheim
164;Alikendorf
165;Alken
166;Alkersleben
167;Alkersum
168;Allenbach
169;Allendorf
170;Allenfeld
171;Allensbach
172;Alleringersleben
173;Allersberg
174;Allersdorf
175;Allershausen
176;Alleshausen
177;Alling
178;Allmannshofen
179;Allmannsweiler
180;Allmendingen
181;Allmenhausen
182;Allmersbach
183;Allmosen
184;Allrode
185;Allstedt
186;Almdorf
187;Almersbach
188;Almosmühle
189;Almstedt
190;Alpen
191;Alpenrod
192;Alperstedt
193;Alpirsbach
194;Alsau
195;Alsbach
196;Alsbach-Hähnlein
197;Alsdorf
198;Alsenz
199;Alsfeld
200;Alsheim
201;Alsleben
202;Alt Bennebek
203;Alt Bork
204;Alt Brieselang
205;Alt Bukow
206;Alt Duvenstedt
207;Alt Golm
208;Alt Jabel
209;Alt Karin
210;Alt Krenzlin
211;Alt Krüssow
212;Alt Kätwin
213;Alt Lanschvitz
214;Alt Lutterow
215;Alt Madlitz
216;Alt Mahlisch
217;Alt Meteln
218;Alt Mölln
219;Alt Necheln
220;Alt Poorstorf
221;Alt Rehse
222;Alt Ruppin
223;Alt Schwerin
224;Alt Schönau
225;Alt Stahnsdorf
226;Alt Tellin
227;Alt Tucheband
228;Alt Zachun
229;Alt Zauche
230;Alt-Galow
231;Alt-Schadow
232;Alt-Sührkow
233;Altbach
234;Altbarnim
235;Altbrand
236;Altbrandsleben
237;Altdorf
238;Altdöbern
239;Altefähr
240;Alteglofsheim
241;Altena
242;Altenahr
243;Altenau
244;Altenbach
245;Altenbamberg
246;Altenbeken
247;Altenberg
248;Altenberga
249;Altenberge
250;Altenbeuthen
251;Altenbrak
252;Altenbuch
253;Altenburg
254;Altendambach
255;Altendiez
256;Altendorf
257;Altenfeld
258;Altengesees
259;Altenglan
260;Altengottern
261;Altenhagen
262;Altenhausen
263;Altenhof
264;Altenholz
265;Altenkirchen
266;Altenkrempe
267;Altenkunstadt
268;Altenmarkt
269;Altenmedingen
270;Altenmoor
271;Altenmünster
272;Altenpleen
273;Altenriet
274;Altenroda
275;Altensalzwedel
276;Altenstadt
277;Altensteig
278;Altenthann
279;Altentreptow
280;Altenweddingen
281;Altenzaun
282;Alterkülz
283;Alterode
284;Altersbach
285;Altertheim
286;Altes Forsthaus
287;Altes Lager
288;Altfraunhofen
289;Altfriedland
290;Altfriesack
291;Altgersdorf
292;Altglietzen
293;Althegnenberg
294;Altheim
295;Altheimersberg
296;Althengstett
297;Althornbach
298;Althütte
299;Althüttendorf
300;Altjeßnitz
301;Altkalen
302;Altkirchen
303;Altkünkendorf
304;Altlandsberg
305;Altlay
306;Altleiningen
307;Altlewin
308;Altlußheim
309;Altlüdersdorf
310;Altmachern
311;Altmannstein
312;Altmersleben
313;Altmittweida
314;Altmädewitz
315;Altomünster
316;Altona
317;Altottenhain
318;Altreetz
319;Altrich
320;Altrip
321;Altscheid
322;Altshausen
323;Altstrimmig
324;Altthymen
325;Alttrebbin
326;Altusried
327;Altwarp
328;Altweidelbach
329;Altwigshagen
330;Altwittenbek
331;Altwustrow
332;Altötting
333;Alveslohe
334;Alzenau
335;Alzey
336;Am Jägerberg
337;Am Quicken
338;Am Rainberge
339;Am Römerhof
340;Am Römerschacht
341;Am Rönndeich
342;Am Rüdesheimer Hafen
343;Am Sandkopf
344;Am Sandweiher
345;Am Springberg
346;Am Tekenberge
347;Amalienfelde
348;Amberg
349;Amelinghausen
350;Amerang
351;Amerdingen
352;Amesdorf
353;Ammeldingen
354;Ammelstädt
355;Ammerbuch
356;Ammern
357;Ammerndorf
358;Ammersbek
359;Ammerthal
360;Amorbach
361;Ampfing
362;Ampfurth
363;Amsdorf
364;Amselgraben
365;Amstetten
366;Amtsberg
367;Amtzell
368;Amöneburg
369;An der Chaussee
370;An der Rhumequelle
371;Andechs
372;Andenhausen
373;Anderbeck
374;Anderlingen
375;Andernach
376;Andervenne
377;Andisleben
378;Andrichstadt
379;Angelbachtal
380;Angelburg
381;Angelhof I u. II
382;Angelroda
383;Anger
384;Angermünde
385;Angern
386;Angersdorf
387;Angl
388;Anhausen
389;Ankermühle
390;Ankershagen
391;Anklam
392;Ankum
393;Anna Luisenhof
394;Annaberg
395;Annaberg-Buchholz
396;Annaburg
397;Annahütte
398;Annarode
399;Anning
400;Annweiler
401;Anröchte
402;Ansbach
403;Anschau
404;Antdorf
405;Antrifttal
406;Antweiler
407;Anzing
408;Apelern
409;Apen
410;Apenburg
411;Apensen
412;Apfeldorf
413;Apfelstädt
414;Apfeltrach
415;Apolda
416;Appel
417;Appelbeck
418;Appeln
419;Appen
420;Appenheim
421;Appenrode
422;Appensee
423;Appenweier
424;Apperting
425;Arbach
426;Arberg
427;Aremberg
428;Arendsee
429;Arenrath
430;Arensdorf
431;Arenshausen
432;Arensnest
433;Arenzhain
434;Aresing
435;Arft
436;Argenbühl
437;Argenschwang
438;Argenthal
439;Arholzen
440;Arkebek
441;Arleting
442;Arlewatt
443;Armsheim
444;Armstedt
445;Armstorf
446;Arnbruck
447;Arneburg
448;Arnis
449;Arnsau
450;Arnsbach
451;Arnsberg
452;Arnschwang
453;Arnsdorf
454;Arnsgereuth
455;Arnsgrün
456;Arnshöfen
457;Arnsnesta
458;Arnstadt
459;Arnstedt
460;Arnstein
461;Arnstorf
462;Arpsdorf
463;Arpshagen
464;Arrach
465;Arras
466;Artamhof
467;Artern
468;Artlenburg
469;Arzbach
470;Arzberg
471;Arzfeld
472;Asbach
473;Asbach-Bäumenheim
474;Asbach-Sickenberg
475;Asbacherhütte
476;Ascha
477;Aschaffenburg
478;Aschara
479;Aschau
480;Aschbach
481;Ascheberg
482;Ascheffel
483;Aschendorf
484;Aschenhausen
485;Aschenhütte
486;Aschersleben
487;Aschheim
488;Aseleben
489;Asendorf
490;Aspach
491;Aspelhorn
492;Aspenstedt
493;Asperg
494;Aspisheim
495;Assamstadt
496;Asselfingen
497;Ast
498;Astert
499;Ateritz
500;Athenstedt
501;Attendorn
502;Attenhausen
503;Attenhofen
504;Attenkirchen
505;Attenweiler
506;Atterwasch
507;Atting
508;Atzelgift
509;Atzendorf
510;Atzlbach
511;Au
512;Aub
513;Aubstadt
514;Audenhain
515;Auderath
516;Aue
517;Aue a Berg
518;Auel
519;Auen
520;Auenwald
521;Auerbach
522;Auerberg
523;Auerstedt
524;Auetal
525;Aufhausen
526;Aufkirchen
527;Aufseß
528;Auggen
529;Augsburg
530;Augsdorf
531;Augustdorf
532;Augustusburg
533;Auhagen
534;Auhausen
535;Auhof
536;Aukrug
537;Auleben
538;Aulendorf
539;Aull
540;Aulosen
541;Auma
542;Aumühle
543;Aura
544;Aurach
545;Aurachtal
546;Aurich
547;Ausacker
548;Ausleben
549;Authausen
550;Auufer
551;Auw
552;Auwies
553;Außernzell
554;Aventoft
555;Averlak
556;Axien
557;Axstedt
558;Aying
559;Ayl
560;Aystetten
561;Azmannsdorf
562;Aßlar
563;Aßling
564;Baabe
565;Baalberge
566;Baar
567;Baar-Ebenhausen
568;Baarz
569;Baasdorf
570;Babben
571;Baben
572;Babenhausen
573;Babensham
574;Babke
575;Babst
576;Bach
577;Bacharach
578;Bachenberg
579;Bachfeld
580;Bachhagel
581;Bachzelten
582;Backnang
583;Bad Abbach
584;Bad Aibling
585;Bad Alexandersbad
586;Bad Arolsen
587;Bad Bayersoien
588;Bad Bederkesa
589;Bad Bellingen
590;Bad Bentheim
591;Bad Bergzabern
592;Bad Berka
593;Bad Berleburg
594;Bad Berneck
595;Bad Bertrich
596;Bad Bevensen
597;Bad Bibra
598;Bad Birnbach
599;Bad Blankenburg
600;Bad Bocklet
601;Bad Bodenteich
602;Bad Brambach
603;Bad Bramstedt
604;Bad Breisig
605;Bad Brückenau
606;Bad Buchau
607;Bad Camberg
608;Bad Colberg-Heldburg
609;Bad Ditzenbach
610;Bad Doberan
611;Bad Driburg
612;Bad Düben
613;Bad Dürkheim
614;Bad Dürrenberg
615;Bad Dürrheim
616;Bad Eilsen
617;Bad Elster
618;Bad Ems
619;Bad Emstal
620;Bad Endbach
621;Bad Endorf
622;Bad Essen
623;Bad Feilnbach
624;Bad Frankenhausen
625;Bad Freienwalde
626;Bad Friedrichshall
627;Bad Füssing
628;Bad Gandersheim
629;Bad Gottleuba
630;Bad Griesbach
631;Bad Grund
632;Bad Grönenbach
633;Bad Harzburg
634;Bad Heilbrunn
635;Bad Herrenalb
636;Bad Hersfeld
637;Bad Homburg
638;Bad Honnef
639;Bad Hönningen
640;Bad Iburg
641;Bad Karlshafen
642;Bad Kissingen
643;Bad Kleinen
644;Bad Klosterlausnitz
645;Bad Kohlgrub
646;Bad Kreuznach
647;Bad Krozingen
648;Bad König
649;Bad Königshofen
650;Bad Kösen
651;Bad Köstritz
652;Bad Laasphe
653;Bad Laer
654;Bad Langensalza
655;Bad Lauchstädt
656;Bad Lausick
657;Bad Lauterberg
658;Bad Liebenstein
659;Bad Liebenwerda
660;Bad Liebenzell
661;Bad Lippspringe
662;Bad Marienberg
663;Bad Mergentheim
664;Bad Muskau
665;Bad Münder
666;Bad Münster-Ebernburg
667;Bad Münstereifel
668;Bad Nauheim
669;Bad Nenndorf
670;Bad Neuenahr-Ahrweiler
671;Bad Neustadt
672;Bad Oeynhausen
673;Bad Oldesloe
674;Bad Orb
675;Bad Peterstal-Griesbach
676;Bad Pyrmont
677;Bad Rappenau
678;Bad Reichenhall
679;Bad Rippoldsau-Schapbach
680;Bad Rodach
681;Bad Rothenfelde
682;Bad Saarow-Pieskow
683;Bad Sachsa
684;Bad Salzdetfurth
685;Bad Salzschlirf
686;Bad Salzuflen
687;Bad Salzungen
688;Bad Sassendorf
689;Bad Saulgau
690;Bad Schandau
691;Bad Schmiedeberg
692;Bad Schussenried
693;Bad Schwalbach
694;Bad Schwartau
695;Bad Schönborn
696;Bad Segeberg
697;Bad Sobernheim
698;Bad Soden
699;Bad Soden-Salmünster
700;Bad Sooden-Allendorf
701;Bad Staffelstein
702;Bad Steben
703;Bad Suderode
704;Bad Sulza
705;Bad Säckingen
706;Bad Sülze
707;Bad Teinach-Zavelstein
708;Bad Tennstedt
709;Bad Tölz
710;Bad Urach
711;Bad Vilbel
712;Bad Waldsee
713;Bad Wiessee
714;Bad Wildbad
715;Bad Wildungen
716;Bad Wilsnack
717;Bad Wimpfen
718;Bad Windsheim
719;Bad Wurzach
720;Bad Wörishofen
721;Bad Wünnenberg
722;Bad Zwesten
723;Bad Zwischenahn
724;Bad Überkingen
725;Badbergen
726;Baddeckenstedt
727;Badeborn
728;Badekow
729;Badel
730;Badem
731;Baden-Baden
732;Badendorf
733;Badenhard
734;Badenhausen
735;Badenheim
736;Badenmühle
737;Badenweiler
738;Badersleben
739;Badingen
740;Badisch Schöllenbach
741;Badow
742;Badra
743;Baek
744;Baesweiler
745;Bagemühl
746;Bagenz
747;Bagow
748;Bahlenhüschen
749;Bahlingen
750;Bahnhof Zimmernsupra-Töttelstädt
751;Bahnitz
752;Bahnsdorf
753;Bahnstock
754;Bahratal
755;Bahrdorf
756;Bahren
757;Bahrenborstel
758;Bahrendorf
759;Bahrenfleth
760;Bahrenhof
761;Bahrenhorst
762;Bahretal
763;Bahro
764;Baienfurt
765;Baierbach
766;Baierbrunn
767;Baierhof
768;Baiern
769;Baiersbronn
770;Baiersdorf
771;Baindt
772;Baisweil
773;Baitz
774;Bakum
775;Balderschwang
776;Baldham
777;Baldringen
778;Balduinstein
779;Balesfeld
780;Balge
781;Balgheim
782;Balgstädt
783;Balingen
784;Balje
785;Balkenkoppel
786;Ballendorf
787;Ballenstedt
788;Ballerstedt
789;Ballhausen
790;Ballrechten-Dottingen
791;Ballstedt
792;Ballstädt
793;Balow
794;Baltmannsweiler
795;Baltrum
796;Balve
797;Balzhausen
798;Balzheim
799;Bamberg
800;Bamme
801;Bammental
802;Bandau
803;Bandekow
804;Bandelin
805;Bandenitz
806;Bandow
807;Bann
808;Bannberscheid
809;Bannesdorf
810;Bannewitz
811;Banteln
812;Bantikow
813;Bantin
814;Banzendorf
815;Banzenhof
816;Banzin
817;Banzkow
818;Barbelroth
819;Barbing
820;Barby
821;Barchfeld
822;Bardenitz
823;Bardowick
824;Barenburg
825;Barendorf
826;Barenthin
827;Bargenstedt
828;Bargfeld-Stegen
829;Bargholz
830;Bargischow
831;Bargstall
832;Bargstedt
833;Bargteheide
834;Bargum
835;Bark
836;Barkelsby
837;Barkenholm
838;Barkhorn
839;Barkow
840;Barleben
841;Barlt
842;Barmissen
843;Barmstedt
844;Barneberg
845;Barnekow
846;Barnewitz
847;Barnin
848;Barnitz
849;Barnstedt
850;Barnstorf
851;Barnstädt
852;Barntrup
853;Barsbek
854;Barsbüttel
855;Barsdorf
856;Barsikow
857;Barsinghausen
858;Bartelshagen II
859;Bartenshagen
860;Bartensleben
861;Barth
862;Bartholomä
863;Bartow
864;Barum
865;Baruth
866;Barver
867;Barwedel
868;Barweiler
869;Barzig
870;Barßel
871;Basberg
872;Basdahl
873;Basdorf
874;Basedow
875;Bassenheim
876;Bassum
877;Bastheim
878;Basthorst
879;Bastorf
880;Battaune
881;Battenberg
882;Battgendorf
883;Battin
884;Battinsthal
885;Battweiler
886;Batzlow
887;Bauda
888;Baudenbach
889;Bauerbach
890;Bauerkuhl
891;Bauler
892;Baumersroda
893;Baumgarten
894;Baumholder
895;Baunach
896;Baunatal
897;Bausendorf
898;Baustert
899;Bautzen
900;Bawinkel
901;Bayerbach
902;Bayerfeld-Steckweiler
903;Bayerisch Eisenstein
904;Bayerisch Gmain
905;Bayreuth
906;Bayrischzell
907;Bebendorf
908;Bebensee
909;Beberstedt
910;Bebertal
911;Beblinstetten
912;Bebra
913;Becheln
914;Bechelsdorf
915;Bechenheim
916;Becherbach
917;Bechhofen
918;Bechstedt
919;Bechstedtstraß
920;Bechtheim
921;Bechtolsheim
922;Bechtsrieth
923;Beckdorf
924;Beckedorf
925;Beckedorfer Schacht
926;Beckeln
927;Beckendorf
928;Beckenhof
929;Beckenkrug
930;Beckentin
931;Beckingen
932;Beckum
933;Bedburg
934;Bedburg-Hau
935;Bedesbach
936;Beedenbostel
937;Beelen
938;Beelitz
939;Beendorf
940;Beenz
941;Beerbaum
942;Beerfelde
943;Beerfelden
944;Beesdau
945;Beesenlaublingen
946;Beesenstedt
947;Beeskow
948;Beesten
949;Beestland
950;Beetz
951;Beetzendorf
952;Beggerow
953;Behlendorf
954;Behlow
955;Behnkendorf
956;Behnsdorf
957;Behren-Lübchin
958;Behrendorf
959;Behrenhoff
960;Behrensdorf
961;Behringen
962;Behringer Schenke
963;Behrungen
964;Bei den Tongruben
965;Beicha
966;Beichlingen
967;Beidendorf
968;Beidenfleth
969;Beierfeld
970;Beiersdorf
971;Beierstedt
972;Beilingen
973;Beilngries
974;Beilrode
975;Beilstein
976;Beimerstetten
977;Beindersheim
978;Beinerstadt
979;Beinhausen
980;Bekdorf
981;Bekmünde
982;Bekond
983;Belau
984;Beldorf
985;Belg
986;Belgern
987;Belgershain
988;Belgweiler
989;Bell
990;Belleben
991;Bellenberg
992;Bellers
993;Bellevue
994;Bellheim
995;Bellin
996;Belling
997;Bellingen
998;Bellstedt
999;Belm
1000;Below
1001;Belrieth
1002;Belsch
1003;Belsdorf
1004;Beltheim
1005;Belum
1006;Belzhof
1007;Belzig
1008;Bembermühle
1009;Bembsmühle
1010;Bempflingen
