id;aglomerationId;zipId;cityId;stateId
1;;3764;1;11
2;;5719;1;1
3;;3640;2;10
4;;3641;2;10
5;;3642;2;10
6;;3643;2;10
7;;3644;2;10
8;;3645;2;10
9;;3646;2;10
10;;3647;2;10
11;;3648;2;10
12;;3649;2;10
13;;5263;3;1
14;;5264;3;1
15;;5265;3;1
16;;5266;3;1
17;;5267;3;1
18;;4522;4;7
19;;1762;5;16
20;;2120;6;14
21;;1186;7;4
22;;2927;8;14
23;;349;9;14
24;;7156;10;2
25;;47;11;13
26;;7495;12;2
27;;3957;13;11
28;;7545;14;2
29;;7293;15;2
30;;5351;16;1
31;;358;17;14
32;;8216;18;17
33;;402;19;14
34;;5271;20;1
35;;4952;21;7
36;;7986;22;2
37;;3930;23;11
38;;6851;24;1
39;;6217;25;2
40;;5660;26;1
41;;2072;27;9
42;;2841;27;9
43;;7596;28;2
44;;6919;29;1
45;;4066;30;11
46;;3957;31;11
47;;4001;32;11
48;;1561;33;16
49;;1852;34;16
50;;2968;35;14
51;;968;36;4
52;;1038;37;8
53;;1821;38;16
54;;5221;39;1
55;;2731;40;9
56;;8153;41;17
57;;2097;42;9
58;;5280;43;1
59;;6402;44;2
60;;38;45;13
61;;7190;45;2
62;;5438;46;1
63;;6040;47;2
64;;7255;47;2
65;;6561;48;2
66;;6593;49;2
67;;3715;50;11
68;;4848;51;11
69;;2890;52;9
70;;1262;53;9
71;;2243;54;9
72;;328;55;14
73;;2925;55;14
74;;5278;56;1
75;;6179;57;2
76;;6299;58;2
77;;1106;59;8
78;;559;60;13
79;;1766;61;16
80;;2348;62;9
81;;5046;63;1
82;;6550;64;2
83;;1972;65;9
84;;3865;66;11
85;;4021;67;11
86;;1322;68;9
87;;1762;69;16
88;;5452;70;1
89;;6300;71;2
90;;3440;72;10
91;;1989;73;9
92;;1065;74;8
93;;2184;75;9
94;;1658;76;16
95;;4216;77;10
96;;4217;77;10
97;;1324;78;9
98;;274;79;4
99;;315;79;14
100;;8139;80;17
101;;2886;81;14
102;;2475;82;7
103;;1719;83;16
104;;2098;84;9
105;;2330;85;9
106;;7617;86;2
107;;7662;87;2
108;;5440;88;1
109;;7904;88;2
110;;7763;89;2
111;;6257;90;2
112;;3712;91;11
113;;1461;93;16
114;;1430;92;16
115;;902;94;4
116;;952;94;4
117;;978;95;4
118;;1123;96;8
119;;1826;97;16
120;;1643;98;16
121;;1848;99;16
122;;1848;100;16
123;;7663;101;2
124;;6589;102;2
125;;6226;103;2
126;;6167;104;2
127;;5222;105;1
128;;6562;106;2
129;;5781;107;1
130;;6879;108;1
131;;5177;109;1
132;;5328;110;1
133;;6167;111;2
134;;7655;112;2
135;;8007;113;2
136;;5011;114;1
137;;6275;115;2
138;;4035;116;11
139;;6551;117;2
140;;6191;118;2
141;;7009;119;2
142;;7611;120;2
143;;5883;121;1
144;;6290;122;2
145;;6880;123;1
146;;6772;124;2
147;;594;125;13
148;;324;126;14
149;;8186;127;17
150;;6212;128;2
151;;5905;129;1
152;;7515;130;2
153;;451;131;17
154;;1800;131;16
155;;5219;132;1
156;;310;133;14
157;;311;134;14
158;;5614;135;11
159;;4144;136;11
160;;998;137;4
161;;1178;137;8
162;;7976;138;2
163;;4670;139;11
164;;3879;140;11
165;;4755;141;11
166;;8135;142;17
167;;1051;143;4
168;;1516;144;16
169;;5143;145;1
170;;5144;145;1
171;;5145;145;1
172;;3675;146;10
173;;7655;147;2
174;;5739;148;1
175;;6650;149;2
176;;7319;150;2
177;;6563;151;2
178;;4094;152;11
179;;5295;153;1
180;;2241;154;9
181;;7168;154;2
182;;3507;155;9
183;;4087;156;11
184;;1997;157;9
185;;3703;158;10
186;;2997;159;14
187;;2269;160;9
188;;6702;161;2
189;;2900;162;9
190;;5271;163;1
191;;2673;164;7
192;;2976;165;14
193;;4011;166;11
194;;8192;167;17
195;;1858;168;16
196;;3955;169;11
197;;430;170;17
198;;2550;170;7
199;;2593;170;7
200;;4024;170;11
201;;3940;171;11
202;;5735;172;1
203;;2968;173;14
204;;7112;174;2
205;;8162;175;17
206;;6453;176;2
207;;6900;177;1
208;;6034;178;2
