id;phone;companyId
1; + 49 9317844222;1
2; + 49 9313599629;2
3; + 49 9312500600;3
4; + 49 9314658450;4
5; + 49 93145464974;5
6; + 49 93146796800;6
7; + 49 93178475935;7
8; + 49 9312704780;8
9; + 49 9314046929;9
10; + 49 931285666;10
11; + 49 9312998380;11
12; + 49 93152340;12
13; + 49 93146773377;13
14; + 49 9313539739;14
15; + 49 93166677721;15
16; + 49 93145464328;16
17; + 49 15151671236;18
18; + 49 93112338;19
19; + 49 9312999500;20
20; + 49 254220080600;21
21; + 49 93173040110;22
22; + 49 93120700371;23
23; + 49 93149760;24
24; + 49 9319701636;25
25; + 49 93178012470;26
26; + 49 17632894468;27
27; + 49 93188074900;28
28; + 49 9319912210;29
29; + 49 931359600;30
30; + 49 1773446897;31
31; + 49 931885172;32
32; + 49 93145265382;33
33; + 49 9314524835;34
34; + 49 93153034;35
35; + 49 93129769722;36
36; + 49 15227268602;37
37; + 49 93113181;38
38; + 49 93132091152;39
39; + 49 931416622;40
40; + 49 15771508135;41
41; + 49 93166063866;42
42; + 49 9314605400;43
43; + 49 1624640123;44
44; + 49 1734838250;45
45; + 49 15124300300;46
46; + 49 93168084969;47
47; + 49 93190894000;48
48; + 49 15208540435;49
49; + 49 93146522400;50
50; + 49 89265488;51
51; + 49 89571003;52
52; + 49 8997345197;53
53; + 49 896734900;54
54; + 49 893581220;55
55; + 49 896205210;56
56; + 49 8974370428;57
57; + 49 893237060;58
58; + 49 893244893;59
59; + 49 89528040;60
60; + 49 1776383734;61
61; + 49 892010711;62
62; + 49 8966063593;63
63; + 49 8968096690;64
64; + 49 8944454970;65
65; + 49 8935061818;66
66; + 49 89777719;67
67; + 49 896516500;68
68; + 49 89229020;69
69; + 49 897595309;70
70; + 49 89591882;71
71; + 49 8992561048;72
72; + 49 892802494;73
73; + 49 8937414614;74
74; + 49 8923077409;75
75; + 49 891412376;76
76; + 49 8954830033;77
77; + 49 8945230820;78
78; + 49 8938102943;79
79; + 49 8954782757;80
80; + 49 8923926900;81
81; + 49 8938887711;82
82; + 49 8913939743;83
83; + 49 8971930150;84
84; + 49 8924408631;85
85; + 49 17663131422;86
86; + 49 17647662379;87
87; + 49 89534919;88
88; + 49 89224166;89
89; + 49 8974849663;90
90; + 49 8920321185;91
91; + 49 8927275133;92
92; + 49 8954244434;93
93; + 49 8937414449;94
94; + 49 8943569021;95
95; + 49 1701200016;96
96; + 49 8989057285 ;97
97; + 49 8924215262;98
98; + 49 8941111586;99
99; + 49 8971699413;100
100; + 49 6966009889;101
101; + 49 69739242;102
102; + 49 6915392884;103
103; + 49 69391330;104
104; + 49 69439363;105
105; + 49 6921999886;106
106; + 49 69253132;107
107; + 49 6965005637;108
108; + 49 6942694080;109
109; + 49 69759030;110
110; + 49 69342780;111
111; + 49 6967777000;112
112; + 49 6970769110;113
113; + 49 6994318123;114
114; + 49 69620408;115
115; + 49 6949085564;116
116; + 49 6924247887;117
117; + 49 6926493460;118
118; + 49 6980088888;119
119; + 49 69734386;120
120; + 49 6992887689;121
121; + 49 6913388860;122
122; + 49 6992882623;123
123; + 49 17663404892;124
124; + 49 6927277837;125
125; + 49 69729286;126
126; + 49 6990025770;127
127; + 49 6978050094;128
128; + 49 15789887846;129
129; + 49 610932252;130
130; + 49 69284051;131
131; + 49 6966127944;132
132; + 49 6997764864;133
133; + 49 6926027112;134
134; + 49 6995198779;135
135; + 49 695083155;136
136; + 49 6990752807;137
137; + 49 6929801606;138
138; + 49 610879860;139
139; + 49 69431845;140
140; + 49 60399393132;141
141; + 49 6995806750;142
142; + 49 699788350;143
143; + 49 69763409;144
144; + 49 6987007374;145
145; + 49 6917309375;146
146; + 49 6997698880;147
147; + 49 6971375877;148
148; + 49 6992039481;149
149; + 49 15906439934;150
